Modo_solicitud,Orden_solicitud,Carrera,Asistencia_diurna_nocturna,Calificacion_previa,Calificacion_madre,Calificacion_padre,Ocupacion_madre,Ocupacion_padre,Desplazado,Deudor,Pagos_al_dia,Genero,Becado,Edad_al_matricularse,Unidades_1er_sem_matriculadas,Unidades_1er_sem_evaluaciones,Unidades_1er_sem_aprobadas,Unidades_1er_sem_nota,Unidades_2do_sem_matriculadas,Unidades_2do_sem_evaluaciones,Unidades_2do_sem_aprobadas,Unidades_2do_sem_nota,Tasa_desempleo,Tasa_inflacion,PIB
12,1,7,1,12,1,14,5,6,0,0,1,1,0,25,5,13,1,11.0,5,11,1,10.0,13.9,-0.3,0.79
17,1,14,1,16,13,27,4,7,1,1,1,0,0,21,6,12,1,12.0,6,11,1,11.0,8.9,1.4,3.51
14,1,6,1,1,13,14,6,2,1,0,1,0,0,19,5,5,0,0.0,5,7,4,14.75,12.7,3.7,-1.7
17,1,17,0,1,23,28,29,44,0,1,1,0,0,23,11,18,8,12.375,9,15,5,12.6,8.9,1.4,3.51
8,1,15,1,1,22,14,10,11,0,0,1,0,0,18,6,8,5,12.6,6,10,6,12.428571428571429,15.5,2.8,-4.06
12,1,3,0,1,1,10,5,6,0,0,1,1,1,24,6,6,4,12.25,6,10,4,11.5,12.4,0.5,1.79
1,2,5,1,1,1,1,5,10,1,0,1,1,1,20,6,9,6,11.375,6,6,5,13.8,7.6,2.6,0.32
8,2,7,1,1,1,14,10,9,0,0,1,1,1,18,5,8,4,13.5,6,10,6,13.625,11.1,0.6,2.02
9,1,11,1,1,23,28,6,6,1,0,1,1,0,26,6,10,4,10.0,6,11,3,12.0,9.4,-0.8,-3.12
1,1,14,1,1,13,1,6,8,1,0,1,0,0,18,6,7,6,12.333333333333334,6,10,3,12.0,13.9,-0.3,0.79
8,2,6,1,1,1,14,5,10,1,0,1,0,0,19,5,13,3,12.0,5,8,4,11.75,9.4,-0.8,-3.12
1,2,16,1,1,13,1,32,16,1,0,1,0,0,20,7,8,6,13.5,7,8,6,14.0,11.1,0.6,2.02
8,3,9,1,1,3,28,3,11,1,0,1,0,0,18,5,16,4,10.666666666666666,5,11,2,12.0,13.9,-0.3,0.79
1,1,6,1,1,1,27,5,10,1,0,1,0,0,21,6,12,4,12.5,6,13,2,12.666666666666666,11.1,0.6,2.02
1,1,6,1,1,4,1,3,10,0,0,1,0,0,18,6,14,4,11.5,6,17,3,13.75,11.1,0.6,2.02
1,1,10,1,1,13,27,8,8,1,0,1,0,0,20,6,13,3,11.2,6,9,4,12.0,16.2,0.3,-0.92
8,2,16,1,1,1,14,3,11,1,0,1,0,0,19,6,9,5,13.0,6,8,5,10.4,7.6,2.6,0.32
12,1,12,1,1,1,28,4,8,0,0,1,0,1,27,7,8,6,12.6,7,9,6,11.685714285714283,12.4,0.5,1.79
8,1,9,1,1,22,27,10,7,1,1,0,0,1,19,5,5,5,12.8,5,5,4,12.0,11.1,0.6,2.02
1,3,12,1,1,1,1,8,8,1,0,1,0,1,19,7,10,5,13.04,7,7,7,12.5,12.4,0.5,1.79
17,1,6,1,16,13,28,9,10,1,1,0,0,0,23,11,18,11,13.166666666666666,9,15,8,13.333333333333334,8.9,1.4,3.51
1,1,10,1,1,1,28,6,9,0,0,1,0,1,20,6,11,5,10.6,6,9,5,11.166666666666666,11.1,0.6,2.02
1,1,6,1,1,1,10,5,6,0,0,1,0,0,20,6,10,6,13.428571428571429,6,11,5,12.666666666666666,13.9,-0.3,0.79
8,1,9,1,1,1,1,10,4,1,0,1,1,0,18,5,6,5,12.0,5,7,4,12.5,15.5,2.8,-4.06
1,2,6,1,1,1,14,4,4,1,0,1,1,0,21,5,7,4,11.5,5,15,3,10.6,10.8,1.4,1.74
1,1,8,1,1,1,1,4,10,1,0,1,0,0,20,6,11,6,13.333333333333334,6,10,6,13.0,16.2,0.3,-0.92
1,2,2,1,1,1,3,4,4,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,12.4,0.5,1.79
1,2,15,1,1,23,1,10,10,1,0,1,0,0,19,6,6,5,12.2,6,7,5,10.8,10.8,1.4,1.74
1,2,15,1,1,22,27,10,10,1,0,1,0,1,19,6,11,4,11.0,6,11,3,11.666666666666666,9.4,-0.8,-3.12
1,3,9,1,1,1,28,6,8,1,0,1,0,1,19,5,5,5,11.6,5,11,3,12.666666666666666,9.4,-0.8,-3.12
1,2,8,1,1,13,27,10,10,1,0,1,0,0,18,5,10,4,13.5,5,5,5,13.4,12.7,3.7,-1.7
1,1,11,1,1,2,27,2,2,1,0,1,0,0,19,6,9,5,13.4,6,16,2,13.5,10.8,1.4,1.74
8,1,10,1,1,22,27,10,10,1,0,1,0,1,21,6,8,3,10.2,6,13,4,12.25,12.7,3.7,-1.7
1,3,11,1,1,22,28,8,8,1,0,1,0,1,18,6,9,6,10.833333333333334,6,8,5,11.0,7.6,2.6,0.32
1,2,12,1,1,1,28,10,10,1,0,1,0,1,18,7,9,6,12.816666666666668,8,11,6,12.875,11.1,0.6,2.02
6,1,7,1,1,1,3,21,31,0,1,1,0,0,19,6,11,2,13.5,5,11,2,11.0,8.9,1.4,3.51
1,1,7,1,1,3,1,3,4,0,0,1,1,0,20,5,9,4,11.6,5,7,4,12.25,7.6,2.6,0.32
1,1,9,1,1,1,14,5,6,0,0,1,1,0,20,5,9,5,12.0,5,9,4,13.0,8.9,1.4,3.51
1,6,12,1,1,1,1,4,8,1,0,1,1,0,18,7,8,6,13.976666666666668,8,12,6,12.041666666666666,11.1,0.6,2.02
1,1,14,1,1,2,28,21,35,1,0,1,1,0,19,6,10,4,12.5,6,12,1,10.0,16.2,0.3,-0.92
1,3,14,1,1,3,14,3,9,1,0,1,1,0,19,5,7,3,11.666666666666666,5,5,4,12.0,9.4,-0.8,-3.12
8,2,11,1,1,13,14,5,4,1,0,1,1,0,20,6,8,6,11.833333333333334,6,9,5,10.4,7.6,2.6,0.32
8,5,7,1,1,22,28,5,5,1,0,1,1,0,21,5,10,4,13.2,5,7,4,14.25,7.6,2.6,0.32
8,1,9,1,1,3,28,4,8,1,0,1,1,0,18,5,13,5,12.0,5,9,4,11.4,13.9,-0.3,0.79
15,1,4,1,14,3,3,8,2,1,0,1,1,0,20,6,12,4,11.6,6,11,5,11.5,15.5,2.8,-4.06
8,1,7,1,1,1,3,10,11,1,0,1,1,0,20,5,7,4,12.0,5,8,2,12.5,10.8,1.4,1.74
8,1,14,1,1,1,27,5,10,1,0,1,0,1,25,6,8,6,11.285714285714286,6,10,5,12.2,15.5,2.8,-4.06
12,1,4,1,1,22,27,10,9,0,0,1,1,0,28,6,12,5,12.0,6,10,6,12.333333333333334,11.1,0.6,2.02
12,1,12,1,1,22,27,29,42,0,0,1,0,0,35,7,11,5,13.34,7,9,5,10.84,12.4,0.5,1.79
12,1,12,1,15,22,27,10,8,0,0,1,0,0,27,8,12,7,12.457142857142856,8,12,7,12.457142857142856,12.7,3.7,-1.7
12,1,17,0,1,22,14,10,10,0,0,1,0,1,31,5,13,4,10.5,5,10,4,10.5,15.5,2.8,-4.06
12,1,17,0,1,22,14,10,11,0,0,1,1,0,47,5,8,4,10.0,5,8,4,12.5,9.4,-0.8,-3.12
1,1,2,1,1,22,14,10,9,0,0,1,1,1,20,0,0,0,0.0,0,0,0,0.0,13.9,-0.3,0.79
1,1,2,1,1,3,2,3,3,1,0,1,1,0,18,0,0,0,0.0,0,0,0,0.0,7.6,2.6,0.32
12,1,4,1,1,13,14,10,5,0,0,1,0,0,39,6,15,2,13.0,6,13,3,13.0,15.5,2.8,-4.06
4,1,7,1,4,4,3,3,8,0,1,1,1,0,30,5,6,4,14.5,5,10,3,16.2,13.9,-0.3,0.79
15,1,17,0,14,22,27,10,10,0,0,1,0,0,41,6,10,4,12.25,7,9,6,12.5,9.4,-0.8,-3.12
9,1,15,1,1,13,27,10,6,0,0,0,0,0,18,6,7,5,12.6,6,6,5,11.8,11.1,0.6,2.02
8,1,9,1,1,1,28,7,7,1,1,1,1,0,18,5,9,0,0.0,5,5,0,0.0,7.6,2.6,0.32
6,1,1,1,1,2,3,3,5,0,0,1,1,0,20,7,10,7,12.857142857142858,7,7,4,12.75,8.9,1.4,3.51
8,1,8,1,1,23,14,6,8,1,0,1,0,0,21,6,12,5,13.6,6,10,4,14.25,12.4,0.5,1.79
15,1,8,1,14,13,14,6,6,1,1,0,0,0,20,6,11,3,12.0,6,11,2,11.0,12.4,0.5,1.79
8,4,6,1,1,22,1,4,10,0,0,1,0,0,20,6,9,6,13.166666666666666,6,8,4,14.0,13.9,-0.3,0.79
6,1,13,1,1,13,1,10,5,0,1,1,0,0,19,7,11,0,0.0,7,11,2,11.666666666666666,8.9,1.4,3.51
1,1,3,0,1,22,27,10,10,1,0,1,0,0,45,12,14,12,14.0,7,12,7,13.857142857142858,7.6,2.6,0.32
12,1,17,0,1,13,27,6,6,0,0,1,0,0,28,5,9,4,11.25,5,7,4,13.0,7.6,2.6,0.32
7,1,2,1,1,23,27,10,10,1,0,1,1,1,18,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74
7,2,5,1,1,1,3,5,3,1,0,1,0,0,18,6,11,1,11.0,6,11,4,11.0,7.6,2.6,0.32
1,1,9,1,1,23,27,8,8,1,0,1,0,0,18,5,8,4,12.0,5,8,4,12.25,9.4,-0.8,-3.12
8,2,7,1,1,1,2,4,4,1,0,1,1,0,21,5,10,5,11.166666666666666,5,10,3,10.8,12.4,0.5,1.79
1,4,9,1,1,13,28,6,6,1,0,1,1,0,18,5,6,4,11.5,5,12,2,10.333333333333334,10.8,1.4,1.74
8,1,9,1,1,1,28,10,10,1,0,1,1,0,19,5,10,2,10.5,5,5,4,11.75,12.4,0.5,1.79
1,1,14,1,1,1,27,5,10,0,0,1,1,0,19,5,8,4,12.5,5,6,4,11.0,7.6,2.6,0.32
1,2,12,1,1,22,27,10,10,1,0,1,1,0,22,7,9,6,12.833333333333334,8,12,6,12.5,16.2,0.3,-0.92
8,6,14,1,1,1,14,5,11,0,0,1,1,0,21,6,10,6,12.285714285714286,6,11,4,14.25,15.5,2.8,-4.06
1,2,11,1,1,1,14,5,2,1,0,1,1,0,18,6,12,5,11.0,6,11,3,10.333333333333334,9.4,-0.8,-3.12
17,1,4,1,16,23,28,10,10,1,1,1,1,0,20,12,16,11,12.545454545454543,10,12,8,11.625,8.9,1.4,3.51
8,1,15,1,1,23,14,10,11,1,0,1,1,0,18,6,6,6,12.666666666666666,6,7,5,13.6,12.4,0.5,1.79
7,5,6,1,1,13,27,9,9,1,0,1,1,0,18,5,11,5,13.0,5,7,5,12.4,9.4,-0.8,-3.12
14,1,3,0,1,23,3,18,20,0,0,1,1,0,54,13,14,13,13.307692307692308,11,12,11,12.818181818181818,12.7,3.7,-1.7
1,1,12,1,1,3,1,10,10,0,0,1,0,0,19,8,8,7,14.514285714285714,8,8,7,14.514285714285714,12.7,3.7,-1.7
4,1,17,0,15,28,3,4,4,0,0,1,0,0,27,5,5,5,15.2,5,6,5,14.0,11.1,0.6,2.02
1,2,6,1,1,22,14,10,9,0,0,1,0,0,20,5,7,4,11.75,5,9,2,10.5,7.6,2.6,0.32
1,1,2,1,1,3,3,2,3,1,0,1,0,0,20,0,0,0,0.0,0,0,0,0.0,13.9,-0.3,0.79
1,1,15,1,1,1,1,5,5,1,0,1,0,0,19,6,7,6,14.0,6,7,5,15.0,11.1,0.6,2.02
12,1,17,0,1,1,1,5,3,0,0,1,0,0,25,5,12,4,12.5,5,10,4,11.0,13.9,-0.3,0.79
1,1,7,1,1,23,28,10,8,1,0,1,1,0,19,5,10,3,10.666666666666666,5,9,2,14.0,7.6,2.6,0.32
1,1,15,1,1,1,14,5,5,0,0,1,1,0,19,6,11,4,12.25,6,10,3,12.666666666666666,7.6,2.6,0.32
1,1,2,1,1,13,1,10,10,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74
1,1,9,1,1,3,14,4,11,0,0,1,1,0,19,5,7,5,11.8,5,8,4,12.4,16.2,0.3,-0.92
1,1,7,1,1,3,1,5,2,0,0,1,1,0,18,5,10,2,14.0,5,7,3,11.0,7.6,2.6,0.32
1,4,9,1,1,1,28,9,10,1,0,1,1,0,19,5,5,4,10.75,5,6,4,12.25,12.4,0.5,1.79
15,1,17,0,14,22,27,10,10,0,0,1,0,0,31,6,12,4,12.25,7,9,7,12.0,9.4,-0.8,-3.12
15,1,6,1,14,1,3,10,5,0,1,0,0,0,24,6,11,4,12.5,6,18,2,11.5,12.4,0.5,1.79
12,1,12,1,1,22,28,5,5,0,0,1,1,1,33,8,16,1,10.0,8,16,1,10.0,12.7,3.7,-1.7
15,1,8,1,14,23,27,5,10,1,0,1,0,1,20,6,11,4,12.0,6,9,4,10.75,16.2,0.3,-0.92
12,1,3,0,1,22,3,10,11,0,0,1,1,0,44,11,21,9,12.333333333333334,11,16,9,11.0,12.4,0.5,1.79
1,5,12,1,1,1,3,10,11,1,0,1,1,0,18,7,10,6,12.035714285714286,8,9,7,13.75,13.9,-0.3,0.79
8,4,11,1,1,1,1,5,3,1,0,1,1,0,19,6,7,5,12.2,6,12,2,12.0,7.6,2.6,0.32
15,1,4,1,1,3,2,3,7,1,0,1,1,0,21,9,14,7,11.285714285714286,8,15,4,12.25,12.7,3.7,-1.7
8,2,5,1,1,24,29,4,4,1,0,1,1,0,20,6,7,5,11.8,6,9,4,12.0,15.5,2.8,-4.06
15,1,7,1,14,13,3,6,3,0,0,1,1,0,20,5,16,0,0.0,5,12,2,10.5,12.7,3.7,-1.7
1,1,7,1,1,1,1,4,4,0,0,0,1,1,18,5,5,5,14.2,5,5,5,14.2,8.9,1.4,3.51
8,1,2,1,1,4,4,4,4,0,1,1,1,0,19,12,12,10,12.7,11,16,10,12.272727272727272,8.9,1.4,3.51
15,1,11,1,14,13,2,10,4,0,0,0,1,0,26,8,14,8,15.125,6,12,6,13.666666666666666,11.1,0.6,2.02
16,1,9,1,1,3,3,3,3,0,1,1,1,0,32,7,16,3,12.0,8,10,3,10.333333333333334,8.9,1.4,3.51
7,3,16,1,1,22,14,10,6,1,0,1,0,1,23,6,10,4,14.25,6,8,5,12.0,7.6,2.6,0.32
12,1,9,1,1,23,28,10,9,0,0,1,0,0,24,5,12,2,10.5,5,9,4,10.0,16.2,0.3,-0.92
13,1,4,1,1,13,14,5,5,1,0,1,1,0,25,6,14,5,11.666666666666666,6,11,4,12.0,15.5,2.8,-4.06
8,6,11,1,1,1,14,5,6,1,0,1,1,0,19,6,13,5,10.8,6,12,3,10.0,9.4,-0.8,-3.12
1,1,14,1,1,1,27,10,11,0,0,1,1,0,21,6,6,5,12.8,6,9,5,12.25,10.8,1.4,1.74
8,3,9,1,1,3,28,15,36,1,1,1,1,0,19,5,10,4,11.0,5,13,2,12.0,8.9,1.4,3.51
14,1,9,1,1,22,28,8,8,0,0,1,1,0,25,5,12,3,11.0,5,12,4,11.5,9.4,-0.8,-3.12
14,1,12,1,1,13,27,27,42,1,0,1,0,0,21,7,12,4,13.125,7,8,6,12.333333333333334,13.9,-0.3,0.79
1,3,7,1,1,1,1,4,6,0,0,1,1,1,19,5,10,5,11.8,5,12,3,11.5,11.1,0.6,2.02
1,5,7,1,1,1,14,5,8,0,0,0,1,1,18,5,6,5,12.2,5,8,4,12.0,8.9,1.4,3.51
12,1,4,1,12,13,27,2,2,0,1,1,1,0,24,6,10,6,14.88888888888889,6,11,6,13.727272727272728,16.2,0.3,-0.92
14,1,6,1,1,13,28,5,10,1,0,0,0,0,19,6,12,5,13.0,6,12,3,11.666666666666666,13.9,-0.3,0.79
1,3,12,1,1,3,1,5,4,1,0,1,0,1,19,7,11,4,12.65,7,9,5,11.1,12.4,0.5,1.79
8,1,9,1,1,1,28,5,6,1,0,1,0,0,19,5,10,1,11.0,5,13,0,0.0,12.7,3.7,-1.7
8,1,6,1,1,1,28,5,10,1,0,1,0,0,21,5,13,3,11.333333333333334,5,12,2,10.5,9.4,-0.8,-3.12
1,1,9,1,1,23,27,6,7,0,0,1,0,1,18,5,11,4,11.571428571428571,5,9,5,12.0,13.9,-0.3,0.79
12,1,12,1,1,22,27,10,10,1,0,1,0,0,39,7,8,5,12.16,7,8,5,12.16,7.6,2.6,0.32
1,2,9,1,1,3,1,4,4,1,1,1,1,0,20,5,6,5,13.2,5,10,5,11.4,16.2,0.3,-0.92
14,3,11,1,1,3,3,3,3,0,0,1,1,0,19,6,14,3,12.5,6,9,4,11.0,12.7,3.7,-1.7
13,1,17,0,1,3,2,3,3,0,0,1,1,0,27,2,2,2,12.5,5,6,2,12.5,12.7,3.7,-1.7
12,1,7,1,1,1,1,5,5,0,0,1,1,0,34,5,7,0,0.0,5,8,1,11.0,10.8,1.4,1.74
15,1,7,1,14,22,27,10,10,0,1,1,1,0,41,7,15,5,14.333333333333334,6,16,6,14.636363636363637,12.4,0.5,1.79
12,1,12,1,1,22,27,29,37,0,0,1,0,0,48,7,11,4,11.75,7,14,3,11.725,11.1,0.6,2.02
1,1,2,1,1,2,3,5,9,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,12.4,0.5,1.79
1,1,5,1,1,13,14,8,10,1,0,1,0,0,19,6,10,2,10.5,6,6,3,11.0,7.6,2.6,0.32
1,1,6,1,1,13,27,9,9,0,0,1,0,0,21,6,13,4,12.0,6,17,2,11.5,11.1,0.6,2.02
8,1,16,1,1,2,14,4,10,1,0,1,0,0,19,6,8,5,12.333333333333334,6,8,5,11.0,15.5,2.8,-4.06
14,1,14,1,1,13,14,2,2,0,1,1,0,0,20,6,12,5,12.2,6,8,5,14.6,13.9,-0.3,0.79
15,1,6,1,14,1,1,4,8,1,0,1,0,0,20,6,11,5,14.2,6,12,2,13.5,13.9,-0.3,0.79
1,1,16,1,1,13,1,10,2,0,0,1,0,0,18,6,8,5,12.8,6,14,3,10.0,9.4,-0.8,-3.12
1,1,5,1,1,23,28,10,6,0,0,0,0,1,18,6,7,5,11.8,6,7,5,13.0,8.9,1.4,3.51
1,4,12,1,1,3,14,3,4,1,0,1,0,0,17,8,14,5,12.46,8,14,5,12.46,10.8,1.4,1.74
1,4,10,1,1,13,1,5,6,1,0,1,0,0,18,6,9,5,11.833333333333334,6,8,2,11.5,13.9,-0.3,0.79
17,1,6,1,16,13,1,10,10,1,1,0,0,0,24,9,9,8,13.125,9,13,6,13.0,8.9,1.4,3.51
9,1,12,1,1,13,1,10,5,0,0,1,0,1,20,8,8,0,0.0,8,8,0,0.0,9.4,-0.8,-3.12
1,3,6,1,1,3,2,5,4,1,0,1,0,0,18,5,14,3,12.333333333333334,5,8,5,11.6,9.4,-0.8,-3.12
8,1,16,1,1,1,1,4,5,0,1,1,0,0,18,6,8,4,13.25,6,10,3,10.666666666666666,12.7,3.7,-1.7
16,1,10,1,1,13,3,6,3,0,1,1,0,0,20,11,18,8,12.625,10,10,3,11.0,11.1,0.6,2.02
1,4,12,1,1,13,14,4,4,1,0,1,0,0,19,7,12,4,12.85,7,7,7,12.62142857142857,11.1,0.6,2.02
15,1,6,1,1,1,2,4,4,0,0,1,0,0,20,6,7,6,14.285714285714286,6,9,3,13.0,13.9,-0.3,0.79
12,1,17,0,1,22,27,10,11,0,0,1,0,0,34,5,5,0,0.0,5,5,0,0.0,9.4,-0.8,-3.12
1,5,14,1,1,4,1,5,11,1,0,1,0,0,18,6,10,4,11.25,6,11,5,12.2,8.9,1.4,3.51
12,1,3,0,1,1,1,5,8,0,1,1,0,0,25,6,6,6,11.333333333333334,6,6,4,11.75,8.9,1.4,3.51
1,1,11,1,1,13,14,6,6,1,0,1,0,0,21,6,8,5,11.6,6,6,5,13.0,12.4,0.5,1.79
12,1,17,0,1,22,27,10,11,0,0,1,0,0,34,5,12,2,11.5,5,9,4,11.75,9.4,-0.8,-3.12
1,2,2,1,1,3,29,2,4,1,0,1,1,0,17,0,0,0,0.0,0,0,0,0.0,15.5,2.8,-4.06
13,1,12,1,1,3,14,3,9,0,0,1,1,0,22,6,7,3,14.5,7,8,4,14.375,15.5,2.8,-4.06
1,6,12,1,1,1,28,4,10,1,0,1,0,0,19,7,10,5,13.44,7,8,6,13.066666666666668,12.4,0.5,1.79
15,1,6,1,14,22,27,10,10,0,0,1,0,0,20,6,8,6,13.0,6,18,2,12.0,12.4,0.5,1.79
9,4,16,1,1,13,28,5,11,1,0,1,0,0,19,6,8,5,12.666666666666666,6,8,5,11.0,15.5,2.8,-4.06
1,3,6,1,1,13,14,5,8,1,0,1,0,0,21,5,13,5,12.2,5,10,3,11.333333333333334,9.4,-0.8,-3.12
8,1,15,1,1,23,28,10,6,0,0,1,0,0,21,6,8,5,11.8,6,8,5,11.833333333333334,15.5,2.8,-4.06
14,1,12,1,1,13,14,5,8,0,0,1,0,1,18,7,11,5,12.16,7,7,2,13.4,16.2,0.3,-0.92
7,1,5,1,1,1,1,4,4,1,0,1,0,0,18,6,6,1,15.0,6,7,4,12.5,9.4,-0.8,-3.12
8,1,6,1,1,2,14,3,10,1,0,1,0,0,18,5,12,2,11.5,5,12,3,11.8,10.8,1.4,1.74
15,3,6,1,14,1,14,5,2,1,0,1,0,0,19,5,10,1,13.0,5,8,3,15.333333333333334,12.7,3.7,-1.7
8,1,2,1,1,1,1,7,8,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,12.4,0.5,1.79
1,1,6,1,1,13,27,4,8,0,0,1,0,0,18,6,13,6,12.0,6,16,4,12.75,11.1,0.6,2.02
8,5,12,1,1,1,1,6,5,1,0,1,0,0,18,7,9,7,12.385714285714286,8,9,7,12.728571428571428,13.9,-0.3,0.79
8,1,8,1,1,3,3,3,3,1,1,0,0,0,18,6,9,5,12.4,6,12,5,14.166666666666666,8.9,1.4,3.51
15,1,6,1,14,3,1,3,10,1,0,1,0,0,21,6,13,3,11.75,6,13,5,12.333333333333334,12.4,0.5,1.79
8,2,2,1,1,1,1,5,2,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,9.4,-0.8,-3.12
8,2,10,1,1,2,1,4,5,1,0,1,0,0,19,6,14,1,11.5,6,12,2,10.5,7.6,2.6,0.32
1,1,5,1,1,13,27,5,5,0,0,1,0,1,18,6,8,6,12.0,6,12,5,11.142857142857142,13.9,-0.3,0.79
8,1,2,1,1,22,27,10,7,1,0,1,1,1,18,0,0,0,0.0,0,0,0,0.0,7.6,2.6,0.32
8,1,7,1,1,13,28,10,8,0,0,1,1,0,18,5,10,3,11.0,5,6,3,11.0,16.2,0.3,-0.92
1,2,15,1,1,23,14,5,8,1,0,1,1,1,19,6,8,4,12.0,6,8,6,12.285714285714286,15.5,2.8,-4.06
8,2,9,1,1,1,28,6,8,1,0,1,1,0,20,5,8,2,10.5,5,11,4,12.25,10.8,1.4,1.74
14,1,5,1,1,1,1,5,8,1,0,1,1,0,19,6,7,3,11.666666666666666,6,13,4,10.333333333333334,13.9,-0.3,0.79
15,1,7,1,14,1,1,10,9,0,0,1,1,1,20,7,12,6,14.142857142857142,6,10,6,14.125,12.4,0.5,1.79
14,1,9,1,1,22,14,10,9,0,0,1,1,0,22,5,5,0,0.0,5,9,3,13.333333333333334,16.2,0.3,-0.92
8,2,9,1,1,23,28,5,8,1,0,1,1,1,22,5,7,3,12.333333333333334,5,9,3,10.571428571428571,10.8,1.4,1.74
1,1,7,1,1,23,14,6,6,0,0,1,1,0,19,5,7,5,10.2,5,8,3,12.0,10.8,1.4,1.74
1,2,15,1,1,3,1,3,5,0,0,1,1,0,19,6,9,5,12.6,10,16,8,11.0,8.9,1.4,3.51
14,1,7,1,1,3,1,3,4,0,0,1,1,0,18,5,9,4,12.25,5,11,3,11.666666666666666,13.9,-0.3,0.79
8,2,11,1,1,13,14,6,8,0,0,1,1,1,18,6,12,3,10.666666666666666,6,9,4,12.0,15.5,2.8,-4.06
1,1,11,1,1,23,14,10,5,0,0,1,1,0,19,6,10,4,12.75,6,12,2,13.0,10.8,1.4,1.74
12,1,8,1,1,13,1,29,29,0,0,1,1,0,24,6,11,6,11.333333333333334,6,12,3,11.333333333333334,16.2,0.3,-0.92
12,1,6,1,9,23,14,10,9,1,1,0,1,0,25,6,6,0,0.0,6,6,0,0.0,8.9,1.4,3.51
12,1,17,0,1,22,27,10,10,0,0,1,1,0,37,5,7,4,10.75,5,7,3,11.333333333333334,7.6,2.6,0.32
14,1,7,1,1,1,28,5,8,0,0,1,1,0,19,5,8,5,12.0,5,12,2,10.5,13.9,-0.3,0.79
8,1,12,1,1,1,1,5,6,0,0,1,1,1,19,7,11,6,12.528571428571428,7,10,6,12.416666666666666,15.5,2.8,-4.06
14,2,12,1,1,13,1,10,11,0,0,1,1,1,21,8,8,0,0.0,8,8,0,0.0,9.4,-0.8,-3.12
15,1,4,1,14,5,3,3,3,0,0,1,1,0,20,7,13,3,10.666666666666666,6,14,2,11.5,15.5,2.8,-4.06
1,2,14,1,1,1,14,5,5,0,0,1,1,1,19,6,10,6,13.125,6,9,6,12.714285714285714,11.1,0.6,2.02
1,1,16,1,1,22,27,10,5,1,0,1,1,0,42,6,9,5,12.4,6,10,5,11.8,7.6,2.6,0.32
9,1,6,1,1,1,14,4,6,0,0,0,1,0,21,6,10,5,14.0,6,11,4,14.8,11.1,0.6,2.02
1,1,5,1,1,1,1,5,10,1,0,1,1,0,19,6,7,5,11.4,6,10,3,11.0,7.6,2.6,0.32
15,1,4,1,14,1,28,10,7,0,0,1,1,0,21,6,13,4,11.75,6,15,4,10.5,15.5,2.8,-4.06
1,1,5,1,1,13,28,5,5,0,0,1,1,0,20,6,8,6,13.428571428571429,6,12,4,11.5,13.9,-0.3,0.79
13,1,7,1,1,1,27,6,6,0,0,1,1,0,19,5,6,4,11.8,5,7,2,11.5,15.5,2.8,-4.06
15,1,7,1,14,5,31,4,3,0,0,1,1,0,23,7,12,3,14.0,6,12,1,14.0,12.4,0.5,1.79
8,1,5,1,1,13,14,8,8,0,0,1,1,0,18,6,7,6,12.333333333333334,6,10,5,10.8,16.2,0.3,-0.92
1,1,9,1,1,22,27,10,10,0,1,1,1,1,22,5,8,5,10.666666666666666,5,11,2,11.0,15.5,2.8,-4.06
9,5,7,1,1,3,2,3,4,1,0,1,1,0,19,5,9,5,11.833333333333334,5,9,5,14.714285714285714,12.4,0.5,1.79
1,3,5,1,1,22,27,10,10,1,0,1,1,1,22,6,6,6,11.666666666666666,6,6,6,12.166666666666666,7.6,2.6,0.32
14,1,5,1,1,1,2,5,3,0,0,1,1,0,38,6,9,5,16.0,6,11,4,16.5,13.9,-0.3,0.79
12,1,12,1,1,1,27,10,10,1,0,1,1,0,27,7,7,7,14.085714285714284,7,7,7,14.085714285714284,7.6,2.6,0.32
16,1,7,1,1,2,27,3,10,1,0,1,1,0,19,5,10,0,0.0,5,7,1,10.0,7.6,2.6,0.32
8,1,7,1,1,13,14,10,10,0,0,1,1,0,20,5,6,5,15.8,5,8,5,13.714285714285714,11.1,0.6,2.02
8,4,7,1,1,22,14,10,5,1,0,1,1,0,18,5,8,4,12.5,5,7,3,14.666666666666666,7.6,2.6,0.32
14,1,14,1,1,3,14,5,9,0,0,1,1,0,19,6,17,4,12.5,6,8,4,13.25,13.9,-0.3,0.79
12,1,7,1,1,13,14,10,8,0,1,1,1,0,24,5,12,1,10.0,5,11,1,11.0,8.9,1.4,3.51
15,1,7,1,14,1,14,5,6,1,0,1,1,0,22,5,9,0,0.0,5,6,2,11.666666666666666,10.8,1.4,1.74
1,1,4,1,1,13,14,10,10,0,0,1,1,1,19,6,9,4,12.0,6,10,4,12.5,15.5,2.8,-4.06
1,1,2,1,1,1,1,8,5,1,1,1,1,0,23,17,19,13,12.153846153846152,17,28,11,11.909090909090908,11.1,0.6,2.02
